cluster_id,cluster_name,cluster_short,pc_payment_regularity_ratio,pc_pending_filing_omissions_ratio,da_total_debt_value_log,da_enforceable_debt_value_log,da_debt_0_6_months_value_log,da_debt_over_48_months_value_log,ap_declared_gross_revedue_value_log,ap_payment_capacity_value_log,pc_total_payment_2025_value_log,da_debt_pgfn_value_log,pc_instalment_plan_count_log,pc_defaulted_instalment_plans_count_log,da_number_distinct_tax_types_count_log,da_number_of_debts_count_log,ap_debt_to_revenue_ratio_log,da_penalty_to_principal_ratio_log,ci_sectoral_delinquency_deviation_score_log,tp_enterprise_age_years_log,da_age_weighted_debt_value_months_log,is_missing_ap_debt_to_revenue_ratio,is_missing_ap_declared_gross_revenue_value,is_missing_pc_pending_filing_omissions_ratio
0,Active High-Capacity Debtors,AHCD,0.8130809880911162,0.9897516953172076,10.036808347440456,9.88429375061294,8.50764845376698,0.017509157600520853,14.161701572272818,12.93226189132513,9.538351708829623,5.833914292304346,0.5113937178241679,0.23353393313146523,1.2443118718988797,2.5362654902740576,0.036295648433925826,0.2128517699068585,2.406195034227969,2.248031465790532,1.4458910247228411,0.009319437500810102,0.009319437500790784,0.00019228550551556034
1,Small Low-Engagement Debtors,SLED,0.9266814704684107,0.9002165290726811,7.933003905889772,7.9116632187508475,4.485235236806389,0.00502054182989875,12.333174946558422,9.035096410113347,4.930902637461569,2.760124906211562,0.1459853350845869,0.07155300637416459,1.0002165863091985,2.3225614763075417,0.03194801438683389,0.30397721131717675,2.405358836755528,1.7324831950518862,2.054793701385769,0.5471386226241246,0.5471386226240789,0.2591839888363924
2,Legacy Debt Debtors,LDD,0.9277490095831441,0.7873704610848221,8.652531911814407,7.888151198099692,1.708879062841694,6.880985820148415,12.84589334613496,8.305215908988856,2.7647988974463926,5.314908523173269,0.13115536910041947,0.07580573729168819,1.1231981369902935,3.1519229311934422,0.0432567224419053,0.5875563266894513,2.4333678006920842,2.3115759306113963,3.6709977675293732,0.6560292963641041,0.6545074073193411,0.44089601217511903
3,Financially Stressed Active Debtors,FSAD,0.7641228073779833,0.9576738346345255,9.80315026002467,9.780673914680571,7.956642445747714,0.1867695183826651,10.700538225042239,9.794133610815287,6.144619349119825,4.6641388911325095,0.4280807182636117,0.2633864486953489,1.2891741642793044,3.105326467023919,0.18400552871926534,0.28407237662476637,2.420481326005735,1.7768486368801861,2.034385904328439,0.029151257818554765,6.8833827526759706e-15,0.0008218052321659342
